,all avg,all std,avl avg,avl std,cmp avg,cmp std,,all num,avl num,cmp num,
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,1,1,1,
2,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,,2,2,2,
3,1.800000,0.160000,1.000000,0.000000,1.000000,0.000000,,5,1,1,
4,2.571429,0.244898,2.000000,0.000000,2.000000,0.000000,,14,4,4,
5,3.238095,0.467120,2.000000,0.000000,2.000000,0.000000,,42,6,4,
6,3.878788,0.651974,2.000000,0.000000,2.000000,0.000000,,132,4,4,
7,4.470862,0.878521,2.941176,0.055364,2.000000,0.000000,,429,17,1,
8,5.030769,1.129122,3.000000,0.000000,3.000000,0.000000,,1430,32,8,
9,5.562731,1.392096,3.000000,0.000000,3.000000,0.000000,,4862,44,16,
all hight,0,1,2,3,4,5,6,7,8,
total,1,3,21,344,1444,2096,1792,960,256,
1,1,0,0,0,0,0,0,0,0,
2,0,2,0,0,0,0,0,0,0,
3,0,1,4,0,0,0,0,0,0,
4,0,0,6,8,0,0,0,0,0,
5,0,0,6,20,16,0,0,0,0,
6,0,0,4,40,56,32,0,0,0,
7,0,0,1,68,152,144,64,0,0,
8,0,0,0,94,376,480,352,128,0,
9,0,0,0,114,844,1440,1376,832,256,
avl hight,0,1,2,3,4,5,6,7,8,
0,1,3,15,92,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,
2,0,2,0,0,0,0,0,0,0,
3,0,1,0,0,0,0,0,0,0,
4,0,0,4,0,0,0,0,0,0,
5,0,0,6,0,0,0,0,0,0,
6,0,0,4,0,0,0,0,0,0,
7,0,0,1,16,0,0,0,0,0,
8,0,0,0,32,0,0,0,0,0,
9,0,0,0,44,0,0,0,0,0,
cmp hight,0,1,2,3,4,5,6,7,8,
0,1,3,13,24,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,
2,0,2,0,0,0,0,0,0,0,
3,0,1,0,0,0,0,0,0,0,
4,0,0,4,0,0,0,0,0,0,
5,0,0,4,0,0,0,0,0,0,
6,0,0,4,0,0,0,0,0,0,
7,0,0,1,0,0,0,0,0,0,
8,0,0,0,8,0,0,0,0,0,
9,0,0,0,16,0,0,0,0,0,
